7841938	2991	36873	0.0082461431	24.6559679037	8.0779173841	0.4829650599	0.4720701371	+-	0.0015932635	0.4859650599	0.4721816422
11714337	2991	24240	0.0054209451	16.2086258776	8.8975838077	0.4281273098	0.4449799783	+-	0.0019029642	0.4311273098	0.4452333933
3966491	2976	48967	0.0110614891	32.9079301075	9.6979821509	0.5233640708	0.5628652223	+-	0.0018749296	0.5321418486	0.5639540178
8129631	2991	60020	0.0134226537	40.1337345369	8.0780113979	0.5541166554	0.5609715444	+-	0.002154464	0.5571166554	0.5610096414
6287172	2997	65048	0.0144888992	43.4087420754	7.8441982718	0.5838434164	0.5717845501	+-	0.0013139993	0.5848434164	0.5717849289
5196864	2925	45702	0.0106871514	31.2492307692	8.3705447082	0.5037397313	0.4914666422	+-	0.0017734537	0.5331619536	0.5444489356
9481674	2997	131679	0.0293303985	87.8738738739	3.9242250512	0.2289192143	0.7458979722	+-	0.0019367308	0.7801543834	0.7578963985
9552668	2964	113791	0.0259136184	76.7820512821	7.5918182607	0.6425675455	0.6512650703	+-	0.0008768479	0.6600151645	0.6520577056
7091476	2988	186272	0.0417408951	124.680053548	7.2059341083	0.6591677918	0.6544587376	+-	0.0011667379	0.6631677918	0.6544675972
8059303	2994	51095	0.0114038077	34.1315965264	7.8855157835	0.5390668252	0.514154063	+-	0.0014003618	0.5410668252	0.5141684177
8360184	2991	29304	0.0065534396	19.5947843531	8.620592255	0.4365826253	0.442470888	+-	0.0017187356	0.4405826253	0.4426530761
8523194	2985	160839	0.0361142172	107.764824121	7.3869666963	0.6564132023	0.633049792	+-	0.0012282964	0.6614132023	0.6330748706
6880727	2994	142725	0.0318545544	95.3406813627	7.0018963936	0.6169396312	0.6102324171	+-	0.0010433852	0.6189396312	0.6102339105
7348206	2994	225771	0.0503894525	150.815631263	7.1719015185	0.6967552616	0.6940887282	+-	0.0007579727	0.6987552616	0.6940892205
